id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23858451,LUXURY Apartment in Polanco Close to Antara,37509231,Patricia,,Miguel Hidalgo,19.43441,-99.21011,Entire home/apt,2868,3,28,2019-05-27,1.86,5,336
23858565,Coyoacan te espera bien,111765089,Lilian,,Coyoacán,19.34249,-99.16041,Private room,440,28,10,2018-07-15,0.66,3,343
23859735,Stylish apartment in the center of Condesa.,107797851,Leo,,Cuauhtémoc,19.41111,-99.17377,Entire home/apt,1587,3,31,2019-06-03,2.09,6,154
23860292,Luminous New Apartment in the heart of La Juárez.,22327794,Florencia,,Cuauhtémoc,19.43213,-99.1513,Entire home/apt,803,3,22,2019-02-12,1.46,2,143
23860913,Puerta Alameda Luxury Apartment,83408110,Martín,,Cuauhtémoc,19.43489,-99.14604,Entire home/apt,1300,1,12,2019-06-09,0.79,9,195
23861193,Puerta Alameda Deluxe Apartment,83408110,Martín,,Cuauhtémoc,19.43332,-99.14499,Entire home/apt,1300,1,9,2019-02-22,0.61,9,191
23861898,Departamento tipo loft bien iluminado,179271696,Florencia,,Benito Juárez,19.40094,-99.15429,Entire home/apt,421,2,40,2019-05-28,2.60,1,23
23862307,Lapato Zinnia,179276521,Patricia,,Miguel Hidalgo,19.40377,-99.18301,Private room,325,3,5,2019-05-09,1.11,1,365
23873149,Rancho Las Nubes,62170555,Jose,,Álvaro Obregón,19.33378,-99.25525,Entire home/apt,1243,4,1,2018-04-03,0.07,1,0
23877762,Sofa cama en pequeño departamento bien comunicado,179398369,Carlos,,Tlalpan,19.29484,-99.17438,Shared room,153,1,0,,,1,0
23877917,"Apmt in Mex city, near to IPADE&Polanco.Clean&safe",179398100,Julio,,Azcapotzalco,19.46566,-99.18579,Entire home/apt,382,2,4,2018-07-07,0.27,1,0
23878087,JARDIN DE PAZ.,179402694,Brenda,,Miguel Hidalgo,19.42702,-99.21594,Private room,1721,3,0,,,1,180
23878619,"Big and cozy apartment in ""Condesa"".",79171191,Kari,,Cuauhtémoc,19.40919,-99.17466,Entire home/apt,1300,2,20,2019-04-30,1.32,2,304
23879148,Amplio y bonito departamento cerca de Coyoacán,93030444,Lize,,Benito Juárez,19.36099,-99.14151,Private room,229,9,0,,,1,0
23879944,casa completa  en la Escandón,56654115,Alejandra,,Miguel Hidalgo,19.40664,-99.1819,Entire home/apt,1491,7,0,,,2,0
23880723,Habitación con baño privado - Norte Centro,142784061,Stephane,,Azcapotzalco,19.47254,-99.16028,Private room,363,1,13,2018-06-26,0.87,1,0
23881373,Cozy/spacious 1 BR/1 BA in cool Roma neighborhood,5953676,Adrián,,Cuauhtémoc,19.414,-99.15947,Entire home/apt,1912,2,0,,,1,0
23882360,Incredible apartment near Av. Reforma,177755056,Alejandra,,Cuauhtémoc,19.42823,-99.15357,Entire home/apt,956,1,57,2019-06-01,3.77,2,331
23882515,Recamara confortable.,174982995,Cristian,,Coyoacán,19.32487,-99.12513,Private room,1109,1,0,,,1,365
23883980,Excelent Apt in trending location! Condesa,94776136,Lucia,,Cuauhtémoc,19.41081,-99.17596,Entire home/apt,650,4,2,2019-01-20,0.26,1,215
23884039,Lindo y acogedor departamento en PB,49851026,Jorge Luis,,Coyoacán,19.33638,-99.16263,Entire home/apt,1147,2,48,2019-06-19,3.30,1,255
23884108,Depa-Studio TLAXCALA 71-B Roma/Condesa CDMX,179477007,Lilian,,Cuauhtémoc,19.40739,-99.16293,Entire home/apt,1204,4,0,,,1,365
